filename,binary_name,primary_path,categories,mitre_ids,risk,description
acccheckconsole.exe,AccCheckConsole.exe,C:\Program Files (x86)\Windows Kits\10\bin\10.0.22000.0\x86\AccChecker\AccCheckConsole.exe,AWL Bypass|Execute,T1218,high,Verifies UI accessibility requirements
addinutil.exe,AddinUtil.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddinUtil.exe,Execute,T1218,high,.NET Tool used for updating cache files for Microsoft Office Add-Ins.
adplus.exe,adplus.exe,C:\Program Files (x86)\Windows Kits\10\Debuggers\x64\adplus.exe,Dump|Execute,T1003.001|T1127,high,Debugging tool included with Windows Debugging Tools
advpack.dll,Advpack.dll,c:\windows\system32\advpack.dll,AWL Bypass|Execute,T1218.011,high,Utility for installing software and drivers with rundll32.exe
agentexecutor.exe,AgentExecutor.exe,C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe,Execute,T1218,high,Intune Management Extension included on Intune Managed Devices
appcert.exe,AppCert.exe,C:\Program Files (x86)\Windows Kits\10\App Certification Kit\appcert.exe,Execute,T1127|T1218.007,high,Windows App Certification Kit command-line tool.
appinstaller.exe,AppInstaller.exe,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.11.2521.0_x64__8wekyb3d8bbwe\AppInstaller.exe,Download,T1105,medium,Tool used for installation of AppX/MSIX applications on Windows 10
applauncher.exe,AppLauncher.exe,C:\Program Files\Windows Kits\10\Microsoft User Experience Virtualization\Management\AppLauncher.exe,Execute,T1127,high,User Experience Virtualization tool that launches applications under monitoring to capture and synchronize user settings.
appvlp.exe,Appvlp.exe,C:\Program Files\Microsoft Office\root\client\appvlp.exe,Execute,T1218,high,Application Virtualization Utility Included with Microsoft Office 2016
aspnet_compiler.exe,Aspnet_Compiler.exe,c:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_compiler.exe,AWL Bypass,T1127,high,ASP.NET Compilation Tool
at.exe,At.exe,C:\WINDOWS\System32\At.exe,Execute,T1053.002,high,Schedule periodic tasks
atbroker.exe,Atbroker.exe,C:\Windows\System32\Atbroker.exe,Execute,T1218,high,Helper binary for Assistive Technology (AT)
bash.exe,Bash.exe,C:\Windows\System32\bash.exe,AWL Bypass|Execute,T1202|T1218,high,File used by Windows subsystem for Linux
bcp.exe,Bcp.exe,C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\170\Tools\Binn\bcp.exe,Download,T1105,medium,Microsoft SQL Server Bulk Copy Program utility for importing and exporting data between SQL Server instances and data files.
bginfo.exe,Bginfo.exe,no default,AWL Bypass|Execute,T1218,high,Background Information Utility included with SysInternals Suite
bitsadmin.exe,Bitsadmin.exe,C:\Windows\System32\bitsadmin.exe,ADS|Copy|Download|Execute,T1105|T1218|T1564.004,high,Used for managing background intelligent transfer
cdb.exe,Cdb.exe,C:\Program Files (x86)\Windows Kits\10\Debuggers\x64\cdb.exe,Execute,T1127,high,Debugging tool included with Windows Debugging Tools.
certoc.exe,CertOC.exe,c:\windows\system32\certoc.exe,Download|Execute,T1105|T1218,high,Used for installing certificates
certreq.exe,CertReq.exe,C:\Windows\System32\certreq.exe,Download|Upload,T1105,medium,Used for requesting and managing certificates
certutil.exe,Certutil.exe,C:\Windows\System32\certutil.exe,ADS|Decode|Download|Encode,T1027.013|T1105|T1140|T1564.004,medium,Windows binary used for handling certificates
change.exe,Change.exe,c:\windows\system32\change.exe,Execute,T1218,high,Remote Desktop Services MultiUser Change Utility
cipher.exe,Cipher.exe,c:\windows\system32\cipher.exe,Tamper,T1485|T1562,low,File Encryption Utility
cl_invocation.ps1,CL_Invocation.ps1,C:\Windows\diagnostics\system\AERO\CL_Invocation.ps1,Execute,T1216,high,Aero diagnostics script
cl_loadassembly.ps1,CL_LoadAssembly.ps1,C:\Windows\diagnostics\system\Audio\CL_LoadAssembly.ps1,Execute,T1216,high,PowerShell Diagnostic Script
cl_mutexverifiers.ps1,CL_Mutexverifiers.ps1,C:\Windows\diagnostics\system\WindowsUpdate\CL_Mutexverifiers.ps1,Execute,T1216,high,Proxy execution with CL_Mutexverifiers.ps1
cmd.exe,Cmd.exe,C:\Windows\System32\cmd.exe,ADS|Download|Upload,T1048.003|T1059.003|T1105|T1564.004,medium,The command-line interpreter in Windows
